State,Registerd Guns,School Shootings,Population
Alabama,161641,42,5073187
Alaska,15824,5,738023
Arizona,179738,12,7303398
Arkansas,79841,18,3030646
California,344622,164,39995077
Colorado,92435,20,5922618
Connecticut,82400,18,3612314
Delaware,4852,8,1008350
Florida,343288,90,22085563
Georgia,190050,46,10916760
Hawaii,7859,3,1474265
Idaho,49566,2,1893410
Illinois,146487,65,12808884
Indiana,114019,24,6845874
Iowa,28494,12,3219171
Kansas,52634,10,2954832
Kentucky,81068,14,4539130
Louisiana,116831,44,4682633
Maine,15371,2,1369159
Maryland,103109,47,6257958
Massachusetts,37152,14,7126375
Michigan,65742,70,10116069
Minnesota,79307,12,5787008
Mississippi,35494,17,2960075
Missouri,72996,39,6188111
Montana,22133,8,1103187
Nebraska,22234,7,1988536
Nevada,76888,13,3185426
New Hampshire,64135,6,1389741
New Jersey,57507,12,9388414
New Mexico,97580,10,2129190
New York,76207,49,20365879
North Carolina,152238,43,10620168
North Dakota,13272,1,800394
Ohio,173405,55,11852036
Oklahoma,71269,11,4000953
Oregon,61383,14,4318492
Pennsylvania,236377,54,13062764
Rhode Island,37152,4,1106341
South Carolina,105601,27,5217037
South Dakota,21130,4,901165
Tennessee,99159,46,7023788
Texas,588696,135,29945493
Utah,72856,13,3373162
Vermont,5872,2,646545
Virginia,307822,25,8757467
Washington,91835,32,7901429
West Virginia,35264,3,1781860
Wisconsin,64878,15,5935064
Wyoming,132806,2,579495
